model,split,maturity,moneyness,mean_risk_score,mean_instability,flag_fraction,n_points
interp_rbf,train,short,deep_itm,0.3532150380205767,0.004660114137948,0.0,5
interp_rbf,train,short,itm,0.2799912874111337,0.003725202969014479,0.0,10
interp_rbf,train,short,atm,0.3528075055783929,0.004830928807300956,0.0,5
interp_rbf,train,short,otm,0.39529351640336463,0.006081916442511506,0.0,10
interp_rbf,train,short,deep_otm,0.5498120865890505,0.008049007348104454,0.0,5
interp_rbf,train,medium,deep_itm,0.34000844566998556,0.004173070146309132,0.0,10
interp_rbf,train,medium,itm,0.2856956935862579,0.0039059286572755286,0.0,20
interp_rbf,train,medium,atm,0.2985649862292111,0.004010151023542417,0.0,10
interp_rbf,train,medium,otm,0.3473733693029463,0.00480801878489804,0.0,20
interp_rbf,train,medium,deep_otm,0.5170371503964808,0.0072732180305450965,0.0,10
interp_rbf,train,long,deep_itm,0.5180062525093686,0.006889440136323791,0.0,10
interp_rbf,train,long,itm,0.4161840333502356,0.005640130106286157,0.0,20
interp_rbf,train,long,atm,0.37610310736173613,0.0054744397509162036,0.0,10
interp_rbf,train,long,otm,0.41897898628699276,0.0063905448586565345,0.0,20
interp_rbf,train,long,deep_otm,0.698999647958358,0.010192646629278795,0.0,10
interp_rbf,val,short,deep_itm,0.6525416926551828,0.006809280861636809,0.0,1
interp_rbf,val,short,itm,0.3372896822230673,0.003519622123521109,0.0,2
interp_rbf,val,short,atm,0.3526835294839767,0.003680257115461861,0.0,1
interp_rbf,val,short,otm,0.16182055329411155,0.001688599531597027,0.0,2
interp_rbf,val,short,deep_otm,0.24971024768835307,0.0026057296103490354,0.0,1
interp_rbf,val,medium,deep_itm,0.6961258634529921,0.007264082238199049,0.0,2
interp_rbf,val,medium,itm,0.426146313777228,0.004446842203834017,0.0,4
interp_rbf,val,medium,atm,0.622996238425902,0.006500973671006281,0.0,2
interp_rbf,val,medium,otm,0.23338176490539547,0.002435341684849366,0.0,4
interp_rbf,val,medium,deep_otm,0.307879696747418,0.0032127285510575665,0.0,2
interp_rbf,val,long,deep_itm,0.7711559675250153,0.008047022328395274,0.0,2
interp_rbf,val,long,itm,0.6938893189458203,0.0072407438678231805,0.0,4
interp_rbf,val,long,atm,0.7919242051761233,0.008263739152407227,0.0,2
interp_rbf,val,long,otm,0.8085871048619507,0.00843761672254133,0.0,4
interp_rbf,val,long,deep_otm,0.9039088172203773,0.009432300003267221,0.0,2
interp_rbf,test,short,deep_itm,0.605093354142892,0.008328530657726887,0.0,2
interp_rbf,test,short,itm,0.2764946889137663,0.004435380067563138,0.0,4
interp_rbf,test,short,atm,0.1861838543273865,0.0031751574848377555,0.0,2
interp_rbf,test,short,otm,0.18524607742491606,0.0028258955805105495,0.0,4
interp_rbf,test,short,deep_otm,0.24587497486150234,0.0035624903731042985,0.0,2
interp_rbf,test,medium,deep_itm,0.4081424729297818,0.005575634747280086,0.0,4
interp_rbf,test,medium,itm,0.3592369944856698,0.005900959924890486,0.0,8
interp_rbf,test,medium,atm,0.24392539506675526,0.004423095402546106,0.0,4
interp_rbf,test,medium,otm,0.2313699432220127,0.003923782282957153,0.0,8
interp_rbf,test,medium,deep_otm,0.16972979425433274,0.0026655195833644695,0.0,4
interp_rbf,test,long,deep_itm,0.6619535286856976,0.011490044836278145,0.0,4
interp_rbf,test,long,itm,0.4846307439137118,0.00914821725710685,0.0,8
interp_rbf,test,long,atm,0.3472839862046604,0.006822213957464821,0.0,4
interp_rbf,test,long,otm,0.23057017098858526,0.004488057389139449,0.0,8
interp_rbf,test,long,deep_otm,0.26562348277249437,0.005161016922531056,0.0,4
